album,upc,title,track,isrc
"The Modern Temple of Amusement (Volume 1)",198025591679,"Floating Theater",1,QZXKT2300050
"The Modern Temple of Amusement (Volume 1)",198025591679,"Mount Vesuvius",2,QZXKT2300051
"The Modern Temple of Amusement (Volume 1)",198025591679,"Soliloquy",3,QZXKT2300052
"The Modern Temple of Amusement (Volume 1)",198025591679,"Dramma Bernesco",4,QZXKT2300053
"The Modern Temple of Amusement (Volume 1)",198025591679,"Ghostly Reminiscences",5,QZXKT2300054
"The Modern Temple of Amusement (Volume 1)",198025591679,"Au Quai",6,QZXKT2300055
"The Modern Temple of Amusement (Volume 1)",198025591679,"Farandole Lamentoso (8-bit mix)",7,QZXKT2300056
"The Modern Temple of Amusement (Volume 1)",198025591679,"Farandole Lamentoso (2600 remix)",8,QZXKT2300057
"The Modern Temple of Amusement (Volume 1)",198025591679,"Steamboatman",9,QZXKT2300058
"The Modern Temple of Amusement (Volume 1)",198025591679,"Foggy River",10,QZXKT2300059
"The Modern Temple of Amusement (Volume 1)",198025591679,"Decommissioned",11,QZXKT2300060
