album,upc,title,track,isrc
"Driftless",198089343887,1,"Baraboo to Dubuque",QZXKT2300139
"Driftless",198089343887,2,"Baraboo to Dubuque (2600 Mix)",QZXKT2300140
"Driftless",198089343887,3,"House On the Rock",QZXKT2300141
"Driftless",198089343887,4,"Driftless",QZXKT2300142
"Driftless",198089343887,5,"Taliesin",QZXKT2300143
"Driftless",198089343887,6,"Bridge Over the Great River",QZXKT2300144
"Driftless",198089343887,7,"The Storehouse of River Lore",QZXKT2300145
"Driftless",198089343887,8,"The Unvisited Cavern",QZXKT2300146
